serie1,serie2,best_pearson,best_spearman,best_kendall,lag_pearson,lag_spearman,lag_kendall
BTC-USD.PctChange,ETH-USD.PctChange,0.7991331314946769,0.8040134586817899,0.626419586085706,0,0,0
BTC-USD.PctChange,SOL-USD.PctChange,0.5229964483635884,0.5785416090361202,0.4310567344406072,0,0,0
BTC-USD.PctChange,XRP-USD.PctChange,0.5297900870968265,0.6527595952366978,0.49305555951250174,0,0,0
BTC-USD.PctChange,ADA-USD.PctChange,0.6316012826866608,0.6909543066927026,0.5190111002785754,0,0,0
ETH-USD.PctChange,SOL-USD.PctChange,0.5915461789555245,0.6242566152383958,0.46783050266068227,0,0,0
ETH-USD.PctChange,XRP-USD.PctChange,0.5586936673925766,0.66782982345879,0.5068754946578378,0,0,0
ETH-USD.PctChange,ADA-USD.PctChange,0.6805971458522936,0.7283350170170843,0.5526350127435825,0,0,0
SOL-USD.PctChange,XRP-USD.PctChange,0.43116817203512176,0.5396747903847349,0.3965838196103592,0,0,0
SOL-USD.PctChange,ADA-USD.PctChange,0.5190843825625189,0.5965993774362521,0.44452681223543467,0,0,0
XRP-USD.PctChange,ADA-USD.PctChange,0.5846654184581674,0.6795663464579222,0.5165791928323687,0,0,0
